step,wild_status,mutant_status
0,175,25
1,153,17
2,171,21
3,186,15
4,173,15
5,165,15
6,156,17
7,167,14
8,151,5
9,164,7
10,155,6
11,149,8
12,164,0
13,167,0
14,160,0
15,166,0
16,181,0
17,179,0
18,199,0
19,199,0
20,193,0
21,179,0
22,167,1
23,150,1
24,153,1
25,157,2
26,170,0
27,157,0
28,164,0
29,156,0
30,150,0
31,159,0
32,163,0
33,150,0
34,150,0
35,153,0
36,149,0
37,160,0
38,161,0
39,158,0
40,181,0
41,179,0
42,190,0
43,182,0
44,192,0
45,200,0
46,192,0
47,200,0
48,194,1
49,193,3
50,186,3
51,185,4
52,186,7
53,171,8
54,173,9
55,159,5
56,144,6
57,144,5
58,146,4
59,171,6
60,172,8
61,176,11
62,181,16
63,177,12
64,183,14
65,188,11
66,185,8
67,188,9
68,183,4
69,171,1
70,181,0
71,190,1
72,185,2
73,176,2
74,185,3
75,176,4
76,176,4
77,151,1
78,149,1
79,164,0
80,159,0
81,151,0
82,154,0
83,157,0
84,168,0
85,185,0
86,192,0
87,169,0
88,184,0
89,190,0
90,201,0
91,188,0
92,183,0
93,173,0
94,161,0
95,151,0
96,164,0
97,173,0
98,184,0
99,187,0
100,177,0
101,172,0
102,179,0
103,188,0
104,183,0
105,186,0
106,169,0
107,192,0
108,194,0
109,194,0
110,184,1
111,196,0
112,199,0
113,173,0
114,169,0
115,167,0
116,181,0
117,184,0
118,178,0
119,197,0
120,186,0
121,173,0
122,187,0
123,186,0
124,200,0
125,193,0
126,198,1
127,191,1
128,184,0
129,176,0
130,172,0
131,180,0
132,188,0
133,198,0
134,198,0
135,190,0
136,188,0
137,191,1
138,187,0
139,179,0
140,159,0
141,149,0
142,169,0
143,160,0
144,163,0
145,186,0
146,197,0
147,199,0
148,157,0
149,162,0
150,170,0
151,194,0
152,193,0
153,179,0
154,196,0
155,197,0
156,187,0
157,198,0
158,199,0
159,201,0
160,191,0
161,200,0
162,173,0
163,176,1
164,189,2
165,177,1
166,185,3
167,192,2
168,186,1
169,197,0
170,199,0
171,190,0
172,187,0
173,189,0
174,169,0
175,198,0
176,181,0
177,157,0
178,155,0
179,154,0
180,149,0
181,154,0
182,151,0
183,163,0
184,175,0
185,196,0
186,200,0
187,199,0
188,199,0
189,172,0
190,172,0
191,195,0
192,188,0
193,194,0
194,196,0
195,179,0
196,177,0
197,176,0
198,166,0
199,191,0
200,192,0
201,196,0
202,194,0
203,188,0
204,184,0
205,194,0
206,174,0
207,172,0
208,195,0
209,186,0
210,192,0
211,196,0
212,188,0
213,196,0
214,189,0
215,188,0
216,200,0
217,191,0
218,188,0
219,169,0
220,171,0
221,153,0
222,191,0
223,173,0
224,162,0
225,194,0
226,191,0
227,188,0
228,198,0
229,182,0
230,189,0
231,198,0
232,164,0
233,162,0
234,178,0
235,192,0
236,181,0
237,194,0
238,164,0
239,158,0
240,162,0
241,162,0
242,173,0
243,169,0
244,149,0
245,159,0
246,150,0
247,150,0
248,156,0
249,163,0
250,166,0
251,156,0
252,157,0
253,151,0
254,154,0
255,167,0
256,158,0
257,157,0
258,167,0
259,185,0
260,185,0
261,180,0
262,192,0
263,173,0
264,170,0
265,165,1
266,165,3
267,177,3
268,194,7
269,168,9
270,171,6
271,167,9
272,149,14
273,141,13
274,144,9
275,148,6
276,143,6
277,151,3
278,149,4
279,178,0
280,176,0
281,158,0
282,159,0
283,169,0
284,151,0
285,156,0
286,166,0
287,153,0
288,157,0
289,159,0
290,150,0
291,152,0
292,150,0
293,158,0
294,151,0
295,161,0
296,154,0
297,159,0
298,159,0
299,159,0
300,170,0
301,176,0
302,179,0
303,152,0
304,159,0
305,182,0
306,186,0
307,174,0
308,190,0
309,198,0
310,188,0
311,157,0
312,165,0
313,158,0
314,159,0
315,171,0
316,162,0
317,154,0
