wild_count,mutant_count
150,50
152,47
157,54
155,54
156,61
148,67
139,63
136,64
130,61
133,60
127,59
130,60
132,63
130,64
140,67
133,64
138,62
139,60
145,55
147,49
143,44
138,40
144,45
150,44
132,43
135,43
138,44
140,44
140,43
135,46
138,49
129,47
121,47
119,47
135,47
133,52
131,56
124,56
130,52
132,50
127,50
133,45
136,43
132,42
121,45
119,44
121,46
123,47
118,47
115,47
115,43
114,43
119,41
123,44
120,45
118,45
122,42
130,40
124,44
124,44
120,40
118,41
114,40
124,41
112,39
116,34
117,40
115,37
116,38
117,36
113,36
112,37
111,41
123,42
123,42
122,44
130,44
134,50
130,53
127,54
122,58
121,56
123,61
122,62
128,64
125,65
129,68
125,69
131,69
131,73
129,74
135,74
144,76
144,72
151,71
150,71
143,71
138,75
135,71
131,72
148,71
151,68
153,69
154,71
164,74
164,72
163,74
170,71
153,76
146,78
139,80
135,84
139,76
148,73
143,75
146,74
141,79
142,81
141,79
145,84
148,75
152,73
151,75
154,71
161,69
163,74
170,79
162,82
162,81
166,74
169,74
163,69
168,69
177,68
174,66
169,65
165,62
166,63
161,58
153,58
149,61
146,61
145,61
144,58
151,56
151,53
152,57
150,63
138,60
144,62
134,66
135,66
132,72
128,74
132,78
140,72
153,70
165,77
165,74
167,72
162,70
159,74
166,80
164,74
167,71
164,74
170,73
167,69
170,70
171,69
168,75
175,75
173,71
165,75
165,72
163,77
169,80
166,80
165,78
170,78
166,80
164,78
164,78
168,72
170,69
171,71
176,66
180,65
169,63
155,62
152,66
158,63
154,65
156,74
154,74
151,72
153,65
159,72
164,69
166,69
169,71
176,73
174,76
172,79
162,78
148,78
151,80
159,86
160,82
153,78
150,82
146,81
151,82
151,76
159,81
155,70
159,66
161,64
172,63
172,70
175,71
170,70
177,70
171,74
171,75
172,74
164,76
164,85
168,79
167,84
158,83
165,84
157,86
155,92
150,87
146,85
142,85
148,84
149,82
145,83
138,86
129,86
125,88
133,85
127,82
126,83
130,81
134,80
137,91
138,88
133,82
129,79
131,79
137,76
142,80
141,85
135,84
133,85
129,82
129,79
126,76
135,80
138,86
131,91
128,97
131,100
126,100
126,101
127,97
122,103
119,105
119,108
124,120
125,123
124,126
120,125
123,127
118,128
125,126
124,125
117,128
116,128
116,129
120,127
124,123
123,126
127,123
127,123
124,126
125,124
122,121
124,124
121,116
115,119
109,123
108,121
109,123
107,124
102,130
96,134
102,130
97,127
96,121
93,115
88,116
89,116
94,113
91,119
94,119
103,111
108,109
110,111
120,111
122,112
118,112
113,116
116,118
114,120
123,122
122,117
124,106
116,100
121,99
118,98
121,100
118,103
122,103
125,102
121,105
121,108
123,113
125,114
121,118
126,114
124,114
128,112
120,113
118,109
114,110
99,109
107,104
101,108
102,104
98,107
96,107
92,103
92,102
101,97
103,102
98,105
88,107
90,106
86,110
89,113
84,110
88,109
96,110
97,114
97,114
98,121
97,119
95,125
92,126
89,132
86,129
89,136
84,135
78,138
82,137
79,136
73,138
73,135
71,138
71,143
63,150
62,141
60,135
56,144
57,142
62,147
62,148
62,150
63,160
63,152
64,152
66,151
68,152
76,150
78,147
71,145
75,142
78,146
74,153
66,140
71,142
73,149
79,154
75,151
79,161
76,152
76,151
76,152
73,153
72,148
74,146
81,147
73,146
72,147
69,152
64,154
66,162
67,163
71,163
73,158
76,151
74,145
74,142
75,141
77,143
78,147
73,152
71,158
71,151
72,147
77,146
81,148
78,142
77,136
81,141
82,138
84,138
82,148
84,150
81,149
75,142
78,135
77,140
72,140
71,141
68,138
66,143
66,138
76,146
78,149
76,152
81,157
80,149
89,157
90,160
82,163
82,166
71,163
65,161
71,155
71,156
69,158
69,156
67,146
62,142
62,145
66,147
66,147
66,146
63,146
60,149
63,151
68,146
73,140
77,131
75,133
74,130
75,130
72,128
65,131
64,130
61,126
56,130
52,121
53,121
50,124
51,125
50,124
49,119
48,122
48,121
45,122
44,127
43,127
42,129
41,130
42,137
40,129
40,130
39,134
37,130
37,133
36,136
39,149
39,151
37,148
38,142
36,145
34,144
32,146
31,143
27,139
28,137
26,145
27,156
26,153
27,139
24,137
22,132
23,129
21,130
20,137
19,138
19,134
17,138
16,136
13,139
14,142
17,140
16,144
17,140
17,148
18,148
20,144
20,142
18,142
19,142
20,142
21,142
18,145
18,147
18,145
20,140
16,136
17,133
18,145
16,152
15,154
17,144
18,140
18,142
20,139
21,140
23,146
21,148
20,146
19,140
21,133
22,140
23,138
23,144
22,149
21,154
20,160
18,154
20,160
19,166
16,161
16,155
13,156
12,167
11,167
10,169
6,178
5,175
6,171
6,175
6,175
7,173
9,170
9,172
9,169
10,172
10,174
11,167
11,169
9,162
9,160
9,165
9,177
9,175
10,169
7,167
7,166
8,158
5,149
4,148
4,149
4,156
5,153
5,147
4,150
4,152
4,156
3,156
3,155
3,162
3,168
3,168
3,174
3,183
2,175
0,173
0,178
0,171
0,167
0,177
0,193
0,196
0,201
0,201
0,208
0,216
0,211
0,209
0,211
0,214
0,222
0,218
0,208
0,201
0,202
0,201
0,203
0,201
0,204
0,202
0,199
0,199
0,206
0,205
0,210
0,210
0,214
0,213
0,225
0,218
0,215
0,223
0,219
0,218
0,209
0,216
0,212
0,216
0,209
0,196
0,198
0,192
0,196
0,208
0,210
0,209
0,203
0,211
0,220
0,222
0,214
0,212
0,219
0,216
0,218
0,221
0,224
0,226
0,229
0,228
0,227
0,230
0,230
0,224
0,223
0,221
0,222
0,222
0,227
0,218
0,214
0,217
0,215
0,226
0,223
0,226
0,224
0,225
0,226
0,233
0,243
0,236
0,242
0,243
0,223
0,222
0,221
0,215
0,221
0,220
0,219
0,219
0,217
0,213
0,203
0,204
0,200
0,189
0,195
0,196
0,197
0,196
0,202
0,209
0,226
0,219
0,206
0,199
0,205
0,202
0,198
0,195
0,196
0,193
0,194
0,172
0,168
0,166
0,164
0,166
0,174
0,174
0,177
0,180
0,176
0,179
0,183
0,173
0,181
0,169
0,178
0,178
0,182
0,178
0,176
0,184
0,181
0,183
0,180
0,191
0,200
0,195
0,191
0,193
0,198
0,200
0,193
0,197
0,206
0,207
0,206
0,208
0,207
0,206
0,216
0,213
0,215
0,225
0,232
0,230
0,232
0,232
0,241
0,240
0,241
0,245
0,251
0,247
0,249
0,249
0,250
0,246
0,245
0,242
0,241
0,235
0,238
0,238
0,237
0,235
0,227
0,217
0,216
0,219
0,219
0,218
0,207
0,208
0,213
0,208
0,199
0,197
0,202
0,200
0,208
0,209
0,213
0,212
0,207
0,206
0,212
0,214
0,218
0,226
0,224
0,206
0,209
0,212
0,220
0,221
0,216
0,213
0,217
0,213
0,211
0,214
0,218
0,228
0,217
0,216
0,217
0,221
0,223
0,221
0,217
0,221
0,220
0,230
0,231
0,237
0,227
0,236
0,246
0,250
0,244
0,249
0,245
0,241
0,245
0,237
0,238
0,245
0,250
0,248
0,250
0,251
0,251
0,243
0,241
0,240
0,243
0,247
0,242
0,244
0,243
0,245
0,246
0,251
0,247
0,240
0,248
0,246
