steps,wild_mean,mutant_mean,total_count
0,175.0,25.0,200.0
1,165.529,23.772,189.301
2,160.402,23.236,183.638
3,157.815,23.091,180.906
4,155.963,22.962,178.925
5,154.67,22.722,177.392
6,153.2,22.51,175.71
7,152.799,22.622,175.421
8,152.139,22.745,174.884
9,151.734,22.546,174.28
10,151.706,22.838,174.544
11,151.204,22.834,174.038
12,151.499,22.61,174.109
13,151.025,22.484,173.509
14,150.721,22.401,173.122
15,150.594,22.363,172.957
16,151.091,22.696,173.787
17,151.232,22.82,174.052
18,151.04,22.862,173.902
19,151.339,22.948,174.287
20,150.86,22.813,173.673
21,151.118,22.792,173.91
22,151.129,22.706,173.835
23,150.947,22.612,173.559
24,151.608,22.733,174.341
25,151.355,22.704,174.059
26,151.514,22.989,174.503
27,151.042,22.921,173.963
28,150.538,22.93,173.468
29,150.051,23.139,173.19
30,150.02,22.947,172.967
31,150.659,23.141,173.8
32,150.936,23.176,174.112
33,150.275,23.169,173.444
34,150.214,23.138,173.352
35,151.005,23.232,174.237
36,151.175,23.248,174.423
37,150.819,23.357,174.176
38,150.786,23.261,174.047
39,151.22,23.053,174.273
40,150.292,23.038,173.33
41,150.209,22.827,173.036
42,149.74,22.997,172.737
43,150.543,23.482,174.025
44,150.918,23.626,174.544
45,151.145,23.212,174.357
46,150.582,23.401,173.983
47,150.727,23.254,173.981
48,150.827,23.599,174.426
49,150.303,23.889,174.192
50,150.81,23.668,174.478
51,150.697,23.738,174.435
52,151.11,23.775,174.885
53,149.688,23.611,173.299
54,149.489,23.522,173.011
55,150.264,23.763,174.027
56,150.64,23.572,174.212
57,150.647,23.673,174.32
58,150.541,23.994,174.535
59,150.14,24.002,174.142
60,149.787,24.107,173.894
61,149.522,24.179,173.701
62,149.698,24.463,174.161
63,149.378,24.37,173.748
64,148.841,24.589,173.43
65,149.374,24.558,173.932
66,149.427,24.7,174.127
67,149.275,24.938,174.213
68,148.796,24.96,173.756
69,148.682,25.158,173.84
70,148.676,25.138,173.814
71,148.538,25.085,173.623
72,148.792,25.204,173.996
73,148.844,25.016,173.86
74,148.334,25.079,173.413
75,148.455,25.066,173.521
76,148.614,24.956,173.57
77,148.805,24.765,173.57
78,148.228,25.255,173.483
79,148.609,25.122,173.731
80,148.45,25.242,173.692
81,148.68,25.27,173.95
82,148.806,25.358,174.164
83,148.966,25.223,174.189
84,149.683,25.053,174.736
85,149.49,24.819,174.309
86,148.903,24.963,173.866
87,149.478,24.767,174.245
88,148.828,24.997,173.825
89,149.096,24.88,173.976
90,148.549,25.081,173.63
91,148.175,25.016,173.191
92,148.209,25.219,173.428
93,147.645,25.12,172.765
94,147.633,25.251,172.884
95,147.922,25.09,173.012
96,148.438,25.236,173.674
97,148.475,25.302,173.777
98,148.087,25.264,173.351
99,147.736,25.206,172.942
100,147.41,25.429,172.839
101,147.728,25.638,173.366
102,147.816,25.581,173.397
103,148.136,25.339,173.475
104,148.378,25.446,173.824
105,148.589,25.166,173.755
106,148.597,25.21,173.807
107,148.267,25.059,173.326
108,148.373,25.308,173.681
109,148.344,24.957,173.301
110,148.47,25.056,173.526
111,148.096,25.233,173.329
112,148.797,25.112,173.909
113,148.384,24.986,173.37
114,148.899,25.198,174.097
115,149.137,25.363,174.5
116,148.599,25.253,173.852
117,148.184,25.321,173.505
118,148.579,25.1,173.679
119,148.983,25.129,174.112
120,148.997,25.224,174.221
121,148.876,25.362,174.238
122,148.909,25.663,174.572
123,149.099,25.473,174.572
124,149.425,25.101,174.526
125,149.301,25.321,174.622
126,148.828,25.225,174.053
127,148.368,25.257,173.625
128,147.836,25.422,173.258
129,148.237,25.366,173.603
130,147.74,25.329,173.069
131,147.463,25.384,172.847
132,147.545,25.384,172.929
133,147.477,25.269,172.746
134,147.649,25.337,172.986
135,148.144,25.698,173.842
136,148.192,25.612,173.804
137,147.927,25.307,173.234
138,148.527,25.702,174.229
139,148.444,25.73,174.174
140,148.356,25.715,174.071
141,148.267,25.306,173.573
142,149.118,25.254,174.372
143,149.094,25.199,174.293
144,149.013,25.165,174.178
145,148.528,25.313,173.841
146,147.725,25.506,173.231
147,148.137,25.557,173.694
148,148.196,25.47,173.666
149,148.566,25.568,174.134
150,148.21,25.387,173.597
151,148.121,25.472,173.593
152,147.983,25.564,173.547
153,147.69,25.786,173.476
154,147.414,25.939,173.353
155,147.588,25.976,173.564
156,147.928,26.075,174.003
157,147.999,26.288,174.287
158,147.684,26.237,173.921
159,148.381,26.202,174.583
160,148.965,26.157,175.122
161,149.059,26.162,175.221
162,148.602,26.156,174.758
163,148.147,26.201,174.348
164,147.479,26.421,173.9
165,147.022,26.308,173.33
166,147.453,26.156,173.609
167,147.196,25.955,173.151
168,147.474,26.056,173.53
169,147.181,25.981,173.162
170,146.728,25.936,172.664
171,146.822,26.162,172.984
172,147.241,26.225,173.466
173,147.61,26.316,173.926
174,147.396,26.32,173.716
175,147.094,26.496,173.59
176,147.379,26.458,173.837
177,147.361,26.3,173.661
178,147.25,26.102,173.352
179,148.255,26.208,174.463
180,147.493,26.469,173.962
181,147.666,26.593,174.259
182,147.549,26.513,174.062
183,147.161,26.419,173.58
184,146.417,26.752,173.169
185,146.708,26.855,173.563
186,146.896,26.874,173.77
187,146.574,26.966,173.54
188,146.749,27.218,173.967
189,146.95,27.057,174.007
190,146.736,27.176,173.912
191,146.726,27.376,174.102
192,146.625,27.348,173.973
193,146.587,27.203,173.79
194,147.128,27.176,174.304
195,146.867,27.496,174.363
196,146.664,27.422,174.086
197,146.369,27.647,174.016
198,146.081,27.626,173.707
199,145.997,27.566,173.563
200,145.645,27.792,173.437
201,145.462,27.577,173.039
202,146.401,27.449,173.85
203,145.84,27.487,173.327
204,145.897,27.581,173.478
205,146.099,27.628,173.727
206,145.648,27.726,173.374
207,145.841,27.78,173.621
208,145.522,27.921,173.443
209,146.132,27.763,173.895
210,146.647,27.769,174.416
211,145.882,27.913,173.795
212,146.34,27.727,174.067
213,145.772,28.158,173.93
214,146.013,28.033,174.046
