steps,wild_mean,mutant_mean,total_count
0,200.0,0.0,200.0
1,189.267,0.034,189.301
2,183.577,0.061,183.638
3,180.828,0.078,180.906
4,178.819,0.106,178.925
5,177.283,0.109,177.392
6,175.579,0.131,175.71
7,175.267,0.154,175.421
8,174.706,0.178,174.884
9,174.093,0.187,174.28
10,174.328,0.216,174.544
11,173.804,0.234,174.038
12,173.873,0.236,174.109
13,173.23,0.279,173.509
14,172.779,0.343,173.122
15,172.586,0.371,172.957
16,173.385,0.402,173.787
17,173.623,0.429,174.052
18,173.421,0.481,173.902
19,173.822,0.465,174.287
20,173.225,0.448,173.673
21,173.422,0.488,173.91
22,173.326,0.509,173.835
23,173.001,0.558,173.559
24,173.72,0.621,174.341
25,173.397,0.662,174.059
26,173.799,0.704,174.503
27,173.23,0.733,173.963
28,172.737,0.731,173.468
29,172.441,0.749,173.19
30,172.194,0.773,172.967
31,172.953,0.847,173.8
32,173.164,0.948,174.112
33,172.502,0.942,173.444
34,172.394,0.958,173.352
35,173.228,1.009,174.237
36,173.385,1.038,174.423
37,173.103,1.073,174.176
38,172.978,1.069,174.047
39,173.142,1.131,174.273
40,172.205,1.125,173.33
41,171.902,1.134,173.036
42,171.564,1.173,172.737
43,172.752,1.273,174.025
44,173.262,1.282,174.544
45,173.013,1.344,174.357
46,172.566,1.417,173.983
47,172.567,1.414,173.981
48,172.989,1.437,174.426
49,172.696,1.496,174.192
50,172.967,1.511,174.478
51,172.855,1.58,174.435
52,173.269,1.616,174.885
53,171.626,1.673,173.299
54,171.396,1.615,173.011
55,172.417,1.61,174.027
56,172.528,1.684,174.212
57,172.619,1.701,174.32
58,172.817,1.718,174.535
59,172.403,1.739,174.142
60,172.073,1.821,173.894
61,171.941,1.76,173.701
62,172.379,1.782,174.161
63,171.968,1.78,173.748
64,171.641,1.789,173.43
65,172.08,1.852,173.932
66,172.236,1.891,174.127
67,172.323,1.89,174.213
68,171.811,1.945,173.756
69,171.908,1.932,173.84
70,171.866,1.948,173.814
71,171.776,1.847,173.623
72,172.099,1.897,173.996
73,171.963,1.897,173.86
74,171.529,1.884,173.413
75,171.674,1.847,173.521
76,171.673,1.897,173.57
77,171.643,1.927,173.57
78,171.475,2.008,173.483
79,171.647,2.084,173.731
80,171.576,2.116,173.692
81,171.824,2.126,173.95
82,172.116,2.048,174.164
83,172.153,2.036,174.189
84,172.64,2.096,174.736
85,172.203,2.106,174.309
86,171.628,2.238,173.866
87,172.089,2.156,174.245
88,171.635,2.19,173.825
89,171.775,2.201,173.976
90,171.352,2.278,173.63
91,170.914,2.277,173.191
92,171.034,2.394,173.428
93,170.332,2.433,172.765
94,170.447,2.437,172.884
95,170.521,2.491,173.012
96,171.162,2.512,173.674
97,171.257,2.52,173.777
98,170.804,2.547,173.351
99,170.367,2.575,172.942
100,170.218,2.621,172.839
101,170.724,2.642,173.366
102,170.728,2.669,173.397
103,170.758,2.717,173.475
104,171.111,2.713,173.824
105,171.039,2.716,173.755
106,171.064,2.743,173.807
107,170.561,2.765,173.326
108,170.892,2.789,173.681
109,170.559,2.742,173.301
110,170.829,2.697,173.526
111,170.554,2.775,173.329
112,171.09,2.819,173.909
113,170.553,2.817,173.37
114,171.35,2.747,174.097
115,171.757,2.743,174.5
116,171.126,2.726,173.852
117,170.677,2.828,173.505
118,170.906,2.773,173.679
119,171.272,2.84,174.112
120,171.339,2.882,174.221
121,171.345,2.893,174.238
122,171.679,2.893,174.572
123,171.63,2.942,174.572
124,171.641,2.885,174.526
125,171.627,2.995,174.622
126,171.066,2.987,174.053
127,170.636,2.989,173.625
128,170.236,3.022,173.258
129,170.511,3.092,173.603
130,169.995,3.074,173.069
131,169.744,3.103,172.847
132,169.721,3.208,172.929
133,169.613,3.133,172.746
134,169.899,3.087,172.986
135,170.639,3.203,173.842
136,170.513,3.291,173.804
137,169.971,3.263,173.234
138,170.953,3.276,174.229
139,170.869,3.305,174.174
140,170.723,3.348,174.071
141,170.313,3.26,173.573
142,171.032,3.34,174.372
143,170.918,3.375,174.293
144,170.846,3.332,174.178
145,170.531,3.31,173.841
146,169.91,3.321,173.231
147,170.298,3.396,173.694
148,170.16,3.506,173.666
149,170.559,3.575,174.134
150,170.019,3.578,173.597
151,169.977,3.616,173.593
152,169.899,3.648,173.547
153,169.784,3.692,173.476
154,169.552,3.801,173.353
155,169.736,3.828,173.564
156,170.18,3.823,174.003
157,170.477,3.81,174.287
158,170.085,3.836,173.921
159,170.773,3.81,174.583
160,171.209,3.913,175.122
161,171.273,3.948,175.221
162,170.7,4.058,174.758
163,170.319,4.029,174.348
164,169.841,4.059,173.9
165,169.367,3.963,173.33
166,169.618,3.991,173.609
167,169.197,3.954,173.151
168,169.448,4.082,173.53
169,169.154,4.008,173.162
170,168.546,4.118,172.664
171,168.852,4.132,172.984
172,169.255,4.211,173.466
173,169.604,4.322,173.926
174,169.383,4.333,173.716
175,169.235,4.355,173.59
176,169.398,4.439,173.837
177,169.275,4.386,173.661
178,168.951,4.401,173.352
179,170.029,4.434,174.463
180,169.407,4.555,173.962
181,169.688,4.571,174.259
182,169.37,4.692,174.062
183,168.942,4.638,173.58
184,168.484,4.685,173.169
185,168.904,4.659,173.563
186,168.971,4.799,173.77
187,168.741,4.799,173.54
188,169.146,4.821,173.967
189,169.318,4.689,174.007
190,169.176,4.736,173.912
191,169.264,4.838,174.102
192,169.101,4.872,173.973
193,168.863,4.927,173.79
194,169.4,4.904,174.304
195,169.292,5.071,174.363
196,168.999,5.087,174.086
197,168.835,5.181,174.016
198,168.5,5.207,173.707
199,168.293,5.27,173.563
200,168.253,5.184,173.437
201,167.908,5.131,173.039
202,168.771,5.079,173.85
203,168.19,5.137,173.327
204,168.321,5.157,173.478
205,168.541,5.186,173.727
206,168.059,5.315,173.374
207,168.3,5.321,173.621
208,168.048,5.395,173.443
209,168.619,5.276,173.895
210,169.003,5.413,174.416
211,168.365,5.43,173.795
212,168.788,5.279,174.067
213,168.598,5.332,173.93
214,168.679,5.367,174.046
215,168.437,5.369,173.806
216,167.877,5.448,173.325
217,167.42,5.489,172.909
218,167.794,5.386,173.18
219,168.399,5.448,173.847
220,167.798,5.406,173.204
221,168.097,5.441,173.538
222,168.823,5.356,174.179
223,168.708,5.455,174.163
224,168.721,5.353,174.074
225,168.816,5.378,174.194
226,168.874,5.329,174.203
227,168.913,5.33,174.243
228,168.804,5.257,174.061
229,169.097,5.104,174.201
230,169.742,5.217,174.959
231,169.128,5.231,174.359
232,168.653,5.255,173.908
233,168.544,5.166,173.71
234,169.012,5.182,174.194
235,168.927,5.106,174.033
236,168.931,5.141,174.072
237,168.542,5.14,173.682
238,168.66,5.233,173.893
239,168.758,5.283,174.041
240,168.718,5.243,173.961
241,169.185,5.311,174.496
242,168.6,5.432,174.032
243,168.907,5.4,174.307
244,168.233,5.405,173.638
245,167.975,5.45,173.425
246,167.865,5.56,173.425
247,168.383,5.553,173.936
248,167.759,5.628,173.387
249,168.542,5.654,174.196
250,168.805,5.705,174.51
251,168.614,5.697,174.311
252,168.559,5.785,174.344
253,168.584,5.729,174.313
254,168.111,5.839,173.95
255,168.034,5.663,173.697
256,168.063,5.778,173.841
257,167.827,5.849,173.676
258,167.947,5.865,173.812
259,167.283,5.998,173.281
260,167.681,5.943,173.624
261,167.701,5.863,173.564
262,167.947,5.778,173.725
263,168.05,5.814,173.864
264,167.569,5.984,173.553
265,167.923,6.081,174.004
266,167.454,5.974,173.428
267,167.351,6.058,173.409
268,167.699,5.846,173.545
269,168.001,5.929,173.93
270,167.974,5.98,173.954
271,167.57,6.078,173.648
272,167.232,6.165,173.397
273,167.221,6.233,173.454
274,167.401,6.322,173.723
275,166.934,6.341,173.275
276,167.132,6.344,173.476
277,167.406,6.33,173.736
278,168.263,6.273,174.536
279,168.029,6.285,174.314
