steps,wild_mean,mutant_mean,total_count
0,157.0,43.0,200.0
1,148.467,40.834,189.301
2,143.583,40.055,183.638
3,141.316,39.59,180.906
4,139.728,39.197,178.925
5,138.528,38.864,177.392
6,137.002,38.708,175.71
7,136.468,38.953,175.421
8,136.16,38.724,174.884
9,135.819,38.461,174.28
10,135.846,38.698,174.544
11,135.236,38.802,174.038
12,135.555,38.554,174.109
13,135.25,38.259,173.509
14,135.19,37.932,173.122
15,135.106,37.851,172.957
16,135.66,38.127,173.787
17,135.593,38.459,174.052
18,135.568,38.334,173.902
19,135.77,38.517,174.287
20,135.354,38.319,173.673
21,135.749,38.161,173.91
22,135.806,38.029,173.835
23,135.71,37.849,173.559
24,136.322,38.019,174.341
25,136.263,37.796,174.059
26,136.484,38.019,174.503
27,135.939,38.024,173.963
28,135.451,38.017,173.468
29,134.875,38.315,173.19
30,134.518,38.449,172.967
31,135.09,38.71,173.8
32,135.373,38.739,174.112
33,134.644,38.8,173.444
34,134.625,38.727,173.352
35,135.364,38.873,174.237
36,135.525,38.898,174.423
37,135.022,39.154,174.176
38,134.962,39.085,174.047
39,135.259,39.014,174.273
40,134.577,38.753,173.33
41,134.643,38.393,173.036
42,134.096,38.641,172.737
43,134.772,39.253,174.025
44,135.194,39.35,174.544
45,135.528,38.829,174.357
46,134.969,39.014,173.983
47,135.272,38.709,173.981
48,135.514,38.912,174.426
49,135.038,39.154,174.192
50,135.499,38.979,174.478
51,135.422,39.013,174.435
52,135.814,39.071,174.885
53,134.37,38.929,173.299
54,134.37,38.641,173.011
55,134.982,39.045,174.027
56,135.225,38.987,174.212
57,135.358,38.962,174.32
58,135.309,39.226,174.535
59,134.811,39.331,174.142
60,134.638,39.256,173.894
61,134.325,39.376,173.701
62,134.372,39.789,174.161
63,134.162,39.586,173.748
64,133.701,39.729,173.43
65,134.094,39.838,173.932
66,134.012,40.115,174.127
67,133.871,40.342,174.213
68,133.517,40.239,173.756
69,133.554,40.286,173.84
70,133.556,40.258,173.814
71,133.373,40.25,173.623
72,133.53,40.466,173.996
73,133.678,40.182,173.86
74,133.015,40.398,173.413
75,133.108,40.413,173.521
76,133.491,40.079,173.57
77,133.962,39.608,173.57
78,133.415,40.068,173.483
79,133.665,40.066,173.731
80,133.341,40.351,173.692
81,133.395,40.555,173.95
82,133.758,40.406,174.164
83,133.69,40.499,174.189
84,134.291,40.445,174.736
85,134.052,40.257,174.309
86,133.543,40.323,173.866
87,134.041,40.204,174.245
88,133.406,40.419,173.825
89,133.66,40.316,173.976
90,133.152,40.478,173.63
91,132.702,40.489,173.191
92,132.719,40.709,173.428
93,132.556,40.209,172.765
94,132.517,40.367,172.884
95,132.7,40.312,173.012
96,133.145,40.529,173.674
97,133.443,40.334,173.777
98,133.09,40.261,173.351
99,132.625,40.317,172.942
100,132.589,40.25,172.839
101,132.808,40.558,173.366
102,132.922,40.475,173.397
103,133.228,40.247,173.475
104,133.441,40.383,173.824
105,133.549,40.206,173.755
106,133.455,40.352,173.807
107,133.184,40.142,173.326
108,133.372,40.309,173.681
109,133.157,40.144,173.301
110,133.467,40.059,173.526
111,133.056,40.273,173.329
112,133.566,40.343,173.909
113,133.101,40.269,173.37
114,133.52,40.577,174.097
115,133.748,40.752,174.5
116,133.284,40.568,173.852
117,132.915,40.59,173.505
118,133.23,40.449,173.679
119,133.367,40.745,174.112
120,133.411,40.81,174.221
121,133.583,40.655,174.238
122,133.721,40.851,174.572
123,133.844,40.728,174.572
124,134.013,40.513,174.526
125,133.78,40.842,174.622
126,133.479,40.574,174.053
127,133.239,40.386,173.625
128,132.926,40.332,173.258
129,133.259,40.344,173.603
130,132.851,40.218,173.069
131,132.633,40.214,172.847
132,132.464,40.465,172.929
133,132.373,40.373,172.746
134,132.403,40.583,172.986
135,132.884,40.958,173.842
136,132.906,40.898,173.804
137,132.57,40.664,173.234
138,133.323,40.906,174.229
139,133.395,40.779,174.174
140,133.278,40.793,174.071
141,133.156,40.417,173.573
142,134.011,40.361,174.372
143,133.835,40.458,174.293
144,133.609,40.569,174.178
145,133.328,40.513,173.841
146,132.789,40.442,173.231
147,133.168,40.526,173.694
148,133.136,40.53,173.666
149,133.497,40.637,174.134
150,133.304,40.293,173.597
151,132.956,40.637,173.593
152,132.904,40.643,173.547
153,132.637,40.839,173.476
154,132.4,40.953,173.353
155,132.456,41.108,173.564
156,132.805,41.198,174.003
157,132.816,41.471,174.287
158,132.46,41.461,173.921
159,133.248,41.335,174.583
160,133.853,41.269,175.122
161,133.933,41.288,175.221
162,133.421,41.337,174.758
163,133.109,41.239,174.348
164,132.416,41.484,173.9
165,132.0,41.33,173.33
166,132.539,41.07,173.609
167,132.252,40.899,173.151
168,132.667,40.863,173.53
169,132.458,40.704,173.162
170,132.065,40.599,172.664
171,132.335,40.649,172.984
172,132.637,40.829,173.466
173,133.199,40.727,173.926
174,132.961,40.755,173.716
175,132.781,40.809,173.59
176,133.139,40.698,173.837
177,133.103,40.558,173.661
178,133.104,40.248,173.352
179,133.981,40.482,174.463
180,133.307,40.655,173.962
181,133.551,40.708,174.259
182,133.397,40.665,174.062
183,133.022,40.558,173.58
184,132.114,41.055,173.169
185,132.641,40.922,173.563
186,132.684,41.086,173.77
187,132.171,41.369,173.54
188,132.381,41.586,173.967
189,132.444,41.563,174.007
190,132.417,41.495,173.912
191,132.252,41.85,174.102
192,132.215,41.758,173.973
193,132.169,41.621,173.79
194,132.488,41.816,174.304
195,132.293,42.07,174.363
196,132.13,41.956,174.086
197,131.877,42.139,174.016
198,131.718,41.989,173.707
199,131.676,41.887,173.563
200,131.329,42.108,173.437
201,131.126,41.913,173.039
202,131.856,41.994,173.85
203,131.297,42.03,173.327
204,131.396,42.082,173.478
205,131.597,42.13,173.727
206,131.179,42.195,173.374
207,131.349,42.272,173.621
208,131.141,42.302,173.443
209,131.737,42.158,173.895
210,132.249,42.167,174.416
211,131.516,42.279,173.795
212,131.866,42.201,174.067
213,131.277,42.653,173.93
214,131.434,42.612,174.046
215,131.153,42.653,173.806
216,130.622,42.703,173.325
217,130.482,42.427,172.909
218,131.11,42.07,173.18
219,131.611,42.236,173.847
220,131.057,42.147,173.204
221,131.502,42.036,173.538
222,132.046,42.133,174.179
223,131.836,42.327,174.163
224,131.787,42.287,174.074
225,131.548,42.646,174.194
226,131.683,42.52,174.203
227,131.821,42.422,174.243
228,131.898,42.163,174.061
229,132.207,41.994,174.201
