wild_count,mutant_count
150,50
155,50
155,52
160,51
154,52
152,52
160,52
162,47
165,44
168,43
168,43
156,43
160,43
157,45
155,46
167,44
168,48
170,45
168,45
157,42
159,42
163,43
158,38
156,39
150,40
152,33
149,32
149,32
149,31
152,31
147,31
145,35
143,33
146,35
145,32
154,31
156,33
150,32
144,32
145,29
145,30
139,31
137,29
138,28
136,28
137,28
140,28
139,29
137,31
139,32
144,36
139,31
135,31
130,32
132,32
138,33
137,35
143,37
141,34
135,35
140,34
135,33
135,32
131,34
127,33
127,32
124,28
130,28
127,29
129,29
132,26
135,28
145,31
141,34
139,33
136,33
136,34
127,36
126,38
128,39
131,38
131,43
136,40
135,39
137,41
138,42
141,45
144,45
144,40
149,39
146,37
151,37
142,37
151,38
149,37
152,35
154,36
147,37
140,40
137,41
139,41
144,42
147,42
139,44
133,43
139,43
140,42
136,42
136,41
139,38
134,44
135,44
139,41
145,44
138,43
146,37
144,33
143,33
135,35
131,36
142,32
132,33
133,33
131,36
131,34
133,38
133,38
142,37
149,36
155,34
147,37
145,33
148,34
148,32
147,32
151,33
162,29
161,33
157,35
161,35
156,39
153,37
157,40
159,42
158,39
157,41
153,41
147,38
144,36
141,36
145,35
142,29
150,28
153,30
151,29
145,31
150,32
147,33
150,32
160,30
163,31
159,32
161,32
165,33
169,35
173,37
170,35
167,39
168,38
171,40
169,35
172,33
171,36
185,38
180,40
177,39
176,36
168,34
169,32
164,31
161,32
151,28
153,26
150,26
144,28
153,29
157,28
156,27
155,23
152,22
148,21
144,24
137,23
137,22
139,20
136,21
141,19
141,18
145,18
144,17
142,20
137,20
137,19
136,19
133,19
137,19
135,18
134,18
135,17
134,16
136,18
133,18
133,17
134,19
138,22
142,19
136,19
133,19
139,19
147,17
137,19
133,17
136,15
141,14
145,13
141,14
139,12
140,12
144,10
145,10
150,9
153,10
152,11
157,12
146,12
152,12
147,13
143,11
145,10
145,9
155,9
163,9
162,9
159,6
155,6
144,6
145,6
146,7
158,6
157,6
165,8
164,8
169,9
165,9
164,9
165,9
158,9
157,9
160,9
170,9
164,9
160,8
170,6
157,4
171,5
173,5
172,4
170,4
159,4
154,4
147,4
151,4
149,3
157,4
153,5
150,5
153,5
157,4
159,4
157,3
158,3
165,2
163,2
174,2
179,2
173,2
173,1
166,1
152,1
151,0
158,0
166,0
162,0
160,0
159,0
156,0
151,0
151,0
151,0
157,0
158,0
158,0
156,0
152,0
150,0
155,0
157,0
164,0
158,0
152,0
152,0
154,0
152,0
152,0
159,0
156,0
155,0
153,0
157,0
156,0
154,0
152,0
153,0
155,0
156,0
154,0
153,0
150,0
156,0
157,0
154,0
151,0
152,0
151,0
157,0
150,0
151,0
158,0
159,0
157,0
155,0
156,0
151,0
158,0
161,0
155,0
161,0
153,0
154,0
159,0
164,0
161,0
168,0
161,0
153,0
154,0
162,0
161,0
156,0
151,0
150,0
151,0
156,0
160,0
159,0
164,0
162,0
163,0
164,0
164,0
164,0
166,0
159,0
153,0
159,0
156,0
159,0
163,0
158,0
156,0
162,0
163,0
167,0
164,0
167,0
161,0
161,0
158,0
155,0
154,0
160,0
163,0
162,0
159,0
164,0
168,0
164,0
160,0
151,0
150,0
156,0
151,0
151,0
153,0
151,0
153,0
152,0
151,0
151,0
159,0
158,0
164,0
172,0
165,0
165,0
168,0
177,0
186,0
185,0
190,0
187,0
192,0
193,0
196,0
197,0
195,0
200,0
195,0
194,0
189,0
187,0
185,0
186,0
187,0
183,0
188,0
192,0
192,0
198,0
203,0
212,0
218,0
222,0
226,0
229,0
224,0
226,0
223,0
219,0
230,0
233,0
225,0
228,0
221,0
222,0
213,0
213,0
229,0
227,0
224,0
231,0
236,0
228,0
224,0
231,0
224,0
234,0
228,0
234,0
231,0
229,0
233,0
232,0
228,0
222,0
223,0
224,0
204,0
200,0
198,0
191,0
193,0
194,0
195,0
203,0
200,0
196,0
201,0
196,0
198,0
203,0
183,0
190,0
190,0
194,0
197,0
194,0
192,0
186,0
172,0
170,0
178,0
178,0
179,0
188,0
182,0
183,0
180,0
176,0
173,0
182,0
183,0
186,0
186,0
186,0
187,0
186,0
192,0
189,0
185,0
185,0
188,0
193,0
202,0
208,0
204,0
208,0
194,0
186,0
184,0
185,0
183,0
175,0
175,0
163,0
161,0
161,0
154,0
156,0
156,0
151,0
150,0
152,0
154,0
154,0
153,0
152,0
151,0
154,0
155,0
150,0
158,0
159,0
152,0
151,0
157,0
156,0
160,0
163,0
159,0
158,0
154,0
158,0
157,0
162,0
160,0
160,0
165,0
165,0
166,0
167,0
166,0
169,0
173,0
183,0
175,0
178,0
179,0
181,0
185,0
175,0
179,0
185,0
185,0
191,0
191,0
201,0
196,0
184,0
187,0
183,0
185,0
194,0
191,0
192,0
182,0
184,0
190,0
194,0
198,0
201,0
204,0
203,0
215,0
210,0
217,0
212,0
218,0
218,0
222,0
218,0
221,0
229,0
225,0
222,0
222,0
229,0
243,0
237,0
250,0
247,0
248,0
246,0
245,0
243,0
245,0
238,0
242,0
243,0
241,0
242,0
242,0
245,0
241,0
237,0
240,0
231,0
242,0
249,0
244,0
240,0
237,0
249,0
246,0
235,0
227,0
227,0
220,0
218,0
231,0
230,0
232,0
227,0
226,0
226,0
225,0
223,0
229,0
223,0
223,0
231,0
233,0
230,0
225,0
227,0
218,0
212,0
216,0
215,0
221,0
217,0
220,0
222,0
228,0
230,0
229,0
230,0
217,0
218,0
227,0
230,0
243,0
248,0
250,0
249,0
247,0
247,0
248,0
243,0
246,0
250,0
240,0
232,0
238,0
240,0
248,0
250,0
246,0
247,0
246,0
239,0
244,0
249,0
250,0
238,0
243,0
234,0
236,0
243,0
249,0
240,0
235,0
229,0
227,0
220,0
222,0
226,0
221,0
222,0
225,0
228,0
228,0
233,0
239,0
236,0
249,0
249,0
245,0
244,0
234,0
229,0
